"ID","Label","Ort1","Ort2","Geschlecht","Geburt","Tod"
2821,"Malaspina, Barnabas (1619–1664)","","Pisa","m",1619,1664
2822,"Malaspina, Franz Wilhelm (1528–1590), Markgraf von Tresana","Tresana","","m",1528,1590
2823,"Bentivoglio, Heinrich (1575–1639), Kämmerer","Ferrara","Rom, ▭ Ferrara","m",1575,1639
2824,"Conti, Torquat (1591–1636), Kämmerer","Poli","Ferrara, ▭ Poli:Stephanskirche","m",1591,1636
2825,"Frangipane di Veglia, Niklas (1362–1432), Ban von Kroatien","Zengg","Zengg:Franziskanerkirche","m",1362,1432
2826,"Frangipane di Veglia, Stephan (1410–1481), Ban von Kroatien","Zengg","Modrus","m",1410,1481
2827,"Frangipane di Veglia, Bernhard (1453–1529)","Modrus","Osail","m",1453,1529
2828,"Frangipane di Veglia, Christoph (1482–1527), Ban von Kroatien","Modrus","Warasdin an der Drau, ▭ Modrus","m",1482,1527
2829,"Frangipane di Veglia, Beatrix (1479–1510)","Modrus","Julau:Franziskanerkirche","w",1479,1510
2830,"Frangipane, Kornel (1508–1588)","Tarcento","Tarcento","m",1508,1588
2831,"Frangipane, Hortensius (1525–1569)","Tarcento","","m",1525,1569
2832,"Frangipane, Kornel (1553–1643), Kämmerer","Tarcento","Venedig","m",1553,1643
2833,"Aldobrandini, Hippolyt (1536–1605), Papst Klement VIII.","Fano della Fortuna","Rom","m",1536,1605
2834,"Aldobrandini, Silvester (1499–1558)","Firenze","Rom","m",1499,1558
2835,"Aldobrandini, Peter (1535–1587)","Fano della Fortuna","Rom","m",1535,1587
2836,"Aldobrandini, Peter (1571–1621), Erzbischof von Ravenna","Rom","Rom","m",1571,1621
2837,"Aldobrandini, Olympia (1567–1637)","Rom","Rom","w",1567,1637
2838,"Aldobrandini, Johann Franz (1545–1601)","Firenze","Warasdin an der Drau, ▭ Rom","m",1545,1601
2839,"Aldobrandini, Karl (1593–1634), Kämmerer","Siena","Nördlingen im Ries","m",1593,1634
2840,"Savelli, Karolina (1608–1692)","Rom","Napoli","w",1608,1692
2841,"Aldobrandini, Peter (1590–1630), Kämmerer","Siena","Ferrara","m",1590,1630
2842,"Arco, Johann Vinzenz (1575–1621), Kämmerer","","","m",1575,1621
2843,"Arco, Johann Baptist (1588–1628), Kämmerer","","","m",1588,1628
2844,"Arco, Maximilian (1617–1683)","Arco in Tirol","","m",1617,1683
2845,"Arco, Johann Philipp (1652–1704)","Arco in Tirol","Bregenz","m",1652,1704
2846,"Frangipane, Julius Anton (1606–1656), Hofkriegsrat","Porpetto","Napoli","m",1606,1656
2847,"Habsburg, Elisabeth (1501–1526), Königin von Dänemark","Brüssel","Zwĳnaarde, ▭ Gent in Flandern, ▭ Odense","w",1501,1526
2848,"Helfenstein, Rudolf (1585–1627), Kämmerer","Wiesensteig","Wiesensteig","m",1585,1627
2849,"Arco, Scipio (1521–1573), Oberstkämmerer","Arco in Tirol","","m",1521,1573
2850,"Arco, Prosper (1522–1572)","Arco in Tirol","Rom","m",1522,1572
2851,"Arco, Pyrrhus (1520–1567), Mundschenk","Arco in Tirol","Wien","m",1520,1567
2852,"Arco, Johann Baptist (1525–1586)","Arco in Tirol","","m",1525,1586
2853,"Arco, Prosper (1555–1607)","","","m",1555,1607
2854,"Capra, Ulrich (1600–1654)","","","m",1600,1654
2855,"Collalto, Hotze (1566–1630)","San Salvatore di Collalto","","m",1566,1630
2856,"Collalto, Viktoria (1599–1661)","San Salvatore di Collalto","","w",1599,1661
2857,"Lodron, Paris (1370–1439)","Lodrone di Storo","","m",1370,1439
2858,"Lodron, Georg (1400–1461)","Lodrone di Storo","","m",1400,1461
2859,"Lodron, Franz (1438–1506)","","","m",1438,1506
2860,"Lodron, Niklas (1475–1551)","","","m",1475,1551
2861,"Lodron, Peter (1405–1485)","Lodrone di Storo","","m",1405,1485
2862,"Lodron, Paris (1435–1498)","","","m",1435,1498
2863,"Lodron, Niklas (1475–1548)","","","m",1475,1548
2864,"Lodron, Paris (1490–1549)","","","m",1490,1549
2865,"Lodron, Hieronym (1545–1602)","","","m",1545,1602
2866,"Lodron, Paris (1453–1505)","","","m",1453,1505
2867,"Lodron, Ludwig (1484–1537)","Lodrone di Storo","Esseg an der Drau","m",1484,1537
2868,"Lodron, Kaspar (1520–1585), Stäbelmeister","","","m",1520,1585
2869,"Lodron, Johann Baptist (1480–1555)","","Casale Monferrato","m",1480,1555
2870,"Lodron, Johann Baptist (1585–1631), Kämmerer","","Coswig an der Elbe","m",1585,1631
2871,"Lodron, Franz (1530–1582)","","","m",1530,1582
2872,"Lodron, Hieronym (1559–1619)","","","m",1559,1619
2873,"Lodron, Paris (1605–1660), Kämmerer","","","m",1605,1660
2874,"Lodron, Johann Baptist (1653–1695), Kämmerer","","","m",1653,1695
2875,"Lodron, Maximilian (1576–1635), Kämmerer","","","m",1576,1635
2876,"Lodron, Paris (1638–1702), Kämmerer","","","m",1638,1702
2877,"Lodron, Niklas (1627–1700), Kämmerer","Concesio","","m",1627,1700
2878,"Lodron, Ludwig (1666–1718), Kämmerer","","","m",1666,1718
2879,"Lodron, Felix (1630–1672), Kämmerer","","","m",1630,1672
2880,"Lodron, Ludwig (1540–1604)","","Trento","m",1540,1604
2881,"Lodron, Julius (1475–1510)","","","m",1475,1510
2882,"Lodron, Hieronym (1620–1657)","Concesio","","m",1620,1657
2883,"Lodron, Karl (1610–1643), Kämmerer","","","m",1610,1643
2884,"Lodron, Karl (1630–1666)","","","m",1630,1666
2885,"Ungnad von Weissenwolff, Johann (1493–1564), Landeshauptmann der Steiermark","Sonnegg im Jauntal","Winteritz in Böhmen, ▭ Tübingen","m",1493,1564
2886,"Althan, Eustach (1530–1602)","","","m",1530,1602
2887,"Althan, Johann Baptist (1568–1629)","","","m",1568,1629
2888,"Althan, Johann Eustach (1600–1652), Kämmerer","","Wien","m",1600,1652
2889,"Zwickel, Christoph (1530–1578), Oberstküchenmeister","","","m",1530,1578
2890,"Lamberg, Joseph (1489–1554), Obersthofmeister","Ortenegg in der Windischen Mark","Laibach","m",1489,1554
2891,"Lamberg, Katharina (1541–1599)","Ottenstein im Waldviertel","Engen im Hegau","w",1541,1599
2892,"Hohenems, Johann Ulrich (1440–1508)","Hohenems","","m",1440,1508
2893,"Hohenems, Johann (1480–1557)","Hohenems","","m",1480,1557
2894,"Montrichier, Heinrich (1593–1648)","Nancy","Wien:Augustinerkirche","m",1593,1648
2895,"Montrichier, Ferdinand (1641–1703), Kämmerer","Wien","","m",1641,1703
2896,"Montrichier, Franziska Elisabeth (1625–1668)","","","w",1625,1668
2897,"Redern, Friedrich (1515–1564)","Ruppersdorf in Schlesien","Breslau","m",1515,1564
2898,"Redern, Christoph (1550–1591)","Breslau","","m",1550,1591
2899,"Redern, Christoph (1591–1642), Kämmerer","Friedland in Böhmen","Hermsdorf an der Warthe","m",1591,1642
2900,"Puchheim, Christoph (1470–1527)","Krumbach in der Buckligen Welt","","m",1470,1527
2901,"Puchheim, Longin (1510–1553)","Krumbach in der Buckligen Welt","","m",1510,1553
2902,"Puchheim, Erasam (1518–1571)","Krumbach in der Buckligen Welt","","m",1518,1571
2903,"Waldstein, Sidonius (1521–1579)","","","m",1521,1579
2904,"Gonzaga, Johann Franz (1395–1444), Markgraf von Mantua","Mantova","Mantova","m",1395,1444
2905,"Gonzaga, Karl (1415–1456)","Mantova","Ferrara","m",1415,1456
2906,"Gonzaga, Zäzilia (1425–1451)","Mantova","Mantova","w",1425,1451
2907,"Gonzaga, Zäzilia (1455–1479)","","Arco in Tirol","w",1455,1479
2908,"Kokorzowa, Adam (1520–1584)","","","m",1520,1584
2909,"Kokorzowa, Karl (1552–1605)","","","m",1552,1605
2910,"Kokorzowa, Ferdinand (1650–1708)","","","m",1650,1708
2911,"Vernier de Rougemont, Matthias (1595–1658), Hofkriegsrat","","","m",1595,1658
2912,"Rottal, Thomas (1420–1479)","","Graz","m",1420,1479
2913,"Rottal, Georg (1458–1525)","Graz","Wien:Minoritenkirche","m",1458,1525
2914,"Rottal, Johann Jakob (1570–1622)","Graz","","m",1570,1622
2915,"Marschall von Pappenheim, Konrad (1534–1603), Trabantenhauptmann","Rothenstein im Allgäu","Tübingen, ▭ Engen im Hegau","m",1534,1603
2916,"Losenstein, Georg Theodemar (1595–1624), Kämmerer","Gschwendt an der Krems","","m",1595,1624
2917,"Rappach, Christoph (1430–1485)","","","m",1430,1485
2918,"Rappach, Johann (1470–1513)","","","m",1470,1513
2919,"Rappach, Christoph (1500–1551)","","","m",1500,1551
2920,"Rappach, Felizitas (1575–1645)","","","w",1575,1645
2921,"Rappach, Magdalena (1542–1562)","","Wien:Minoritenkirche","w",1542,1562
2922,"Kolowrat, Jaroslaus (1577–1626)","Altsattler Bürgel","","m",1577,1626
2923,"Arco, Anna (1550–1570)","","Trentschin im Waagtal","w",1550,1570
2924,"Habsburg, Maria (1505–1558), Königin von Ungarn","Mechelen","Cigales, ▭ San Lorenzo de El Escorial","w",1505,1558
2925,"Strasoldo, Martin (1570–1643), Kämmerer","Cervignano del Friuli","","m",1570,1643
2926,"Strasoldo, Orpheus (1580–1649), Kämmerer","Cervignano del Friuli","Laibach","m",1580,1649
2927,"Strasoldo, Weikhard (1590–1631), Kämmerer","Cervignano del Friuli","Breitenfeld im Lindenthal","m",1590,1631
2928,"Strasoldo, Bartlme (1620–1647)","","Iglau in Mähren","m",1620,1647
2929,"Collalto, Vinciguerra (1440–1481)","Collalto","","m",1440,1481
2930,"Collalto, Anton (1475–1528)","San Salvatore di Collalto","","m",1475,1528
2931,"Collalto, Reimbald (1506–1576)","San Salvatore di Collalto","","m",1506,1576
2932,"Collalto, Anton (1548–1619)","San Salvatore di Collalto","","m",1548,1619
2933,"Collalto, Niklas (1478–1546)","San Salvatore di Collalto","","m",1478,1546
2934,"Collalto, Scipio (1506–1567)","San Salvatore di Collalto","","m",1506,1567
2935,"Collalto, Hannibal (1536–1607)","San Salvatore di Collalto","","m",1536,1607
2936,"Collalto, Klaudius (1583–1617), Kämmerer","San Salvatore di Collalto","","m",1583,1617
2937,"Collalto, Oktavian (1585–1636), Kämmerer","San Salvatore di Collalto","","m",1585,1636
2938,"Collalto, Hannibal (1615–1658)","San Salvatore di Collalto","","m",1615,1658
2939,"Hohenems, Mark Sittich (1466–1533)","Hohenems","Bregenz, ▭ Hohenems","m",1466,1533
2940,"Hohenems, Jakob (1470–1512)","Hohenems","Ravenna, ▭ Modena","m",1470,1512
2941,"Hohenems, Markward (1495–1523)","Hohenems","","m",1495,1523
2942,"Hohenems, Mark Sittich (1521–1565)","Hohenems","","m",1521,1565
2943,"Hohenems, Franz Wilhelm (1654–1691), Truchsess","Hohenems","Wardein an der Donau","m",1654,1691
2944,"Hohenems, Ferdinand Karl (1650–1686), Kämmerer","Hohenems","","m",1650,1686
2945,"Hohenems, Margarita (1536–1592)","Mailand","Trento","w",1536,1592
2946,"Traun, Johann Christoph (1598–1654), Kämmerer","Maissau","Wien","m",1598,1654
2947,"Lodron, Anna (1495–1556)","","","w",1495,1556
2948,"Collalto, Jakob (1542–1621), Mundschenk","San Salvatore di Collalto","","m",1542,1621
2949,"Medici di Marignano, Bernhard (1465–1519)","Mailand","Mailand","m",1465,1519
2950,"Medici di Marignano, Johann Angel (1499–1565), Papst Pius IV.","Mailand","Rom","m",1499,1565
2951,"Medici di Marignano, Klara (1510–1560)","Mailand","","w",1510,1560
2952,"Medici, Angela (1608–1636)","Firenze","Rom","w",1608,1636
2953,"Medici di Marignano, Johann Jakob (1498–1555)","Mailand","Mailand","m",1498,1555
2954,"Medici di Marignano, August (1501–1570)","Mailand","Frascarolo","m",1501,1570
2955,"Medici di Marignano, Johann Jakob (1558–1599)","Melegnano","Mailand","m",1558,1599
2956,"Gonzaga, Friedrich (1580–1630), Markgraf von Luzzara","","","m",1580,1630
2957,"Gonzaga, Eleonora (1607–1665)","","","w",1607,1665
2958,"Collalto, Juliana (1623–1647)","","","w",1623,1647
2959,"Borromeo, Hortensia (1550–1578)","Arona am Lago Maggiore","Hohenems","w",1550,1578
2960,"Bracciolini, Johann Baptist (1600–1650), Kämmerer","Nürnberg","","m",1600,1650
2961,"Fieschi, Haug (1600–1675), Kämmerer","Lavagna","Genova","m",1600,1675
2962,"Spinola, Maria (1608–1649)","Genova","","w",1608,1649
2963,"Habsburg, Christina (1574–1621), Fürstin von Siebenbürgen","Graz","Hall in Tirol","w",1574,1621
2964,"Castiglioni, Alexander (1520–1574)","Garlasco","","m",1520,1574
2965,"Castiglioni, Pompei (1550–1603)","Garlasco","","m",1550,1603
2966,"Castiglioni, Alfons (1545–1607)","Garlasco","","m",1545,1607
2967,"Castiglioni, Manfred (1570–1635)","Garlasco","","m",1570,1635
2968,"Castiglioni, Ferdinand (1595–1635), Kämmerer","Garlasco","","m",1595,1635
2969,"Gonzaga, Prosper (1554–1614), Markgraf von Luzzara","","Mantova","m",1554,1614
2970,"Gonzaga, Ludwig (1587–1633), Bischof von Alba","","","m",1587,1633
2971,"Gonzaga, Alfons (1596–1659), Kämmerer","San Martino dall’Argine","San Martino dall’Argine","m",1596,1659
2972,"Gonzaga, Kamil (1600–1658), Kämmerer","San Martino dall’Argine","Split","m",1600,1658
2973,"Gonzaga, Johann Franz (1488–1524), Markgraf von Luzzara","Luzzara","Mantova","m",1488,1524
2974,"Gonzaga, Maximilian (1513–1578), Markgraf von Luzzara","","Mantova","m",1513,1578
2975,"Gonzaga, Johann (1474–1525), Fürst von Vescovado","Mantova","Mantova","m",1474,1525
2976,"Gonzaga, Siegmund (1499–1530), Fürst von Vescovado","","","m",1499,1530
2977,"Gonzaga, Siegmund (1530–1567), Fürst von Vescovado","","Mantova","m",1530,1567
2978,"Gonzaga, Karl (1551–1614), Fürst von Vescovado","Vescovado","Siena","m",1551,1614
2979,"Gonzaga, Franz (1593–1636), Fürst von Vescovado","","","m",1593,1636
2980,"Gonzaga, Siegmund (1625–1694), Fürst von Vescovado","","Mantova","m",1625,1694
2981,"Spinola, Philipp (1530–1585)","Genova","","m",1530,1585
2982,"Spinola, Christoph (1525–1569)","Genova","","m",1525,1569
2983,"Spinola, Andreas (1562–1641), Herzog von Genua","Genova","Genova","m",1562,1641
2984,"Spinola, Philipp (1594–1659)","Genova","Madrid","m",1594,1659
2985,"Spinola, Paul (1632–1699)","Mailand","Madrid","m",1632,1699
2986,"Spinola, Albrecht (1580–1618)","Bruay in Artesien","","m",1580,1618
2987,"Rangoni, Julius (1585–1639)","Modena","Moncalieri","m",1585,1639
2988,"Ariberti, Johann Baptist (1612–1707), Kämmerer","Cremona","Cremona","m",1612,1707
2989,"Sacchetti, Johann Baptist (1540–1620)","Firenze","Rom","m",1540,1620
2990,"Sacchetti, Julius (1587–1663)","Rom","Rom","m",1587,1663
2991,"Sacchetti, Alexander (1589–1648), Kämmerer","Rom","","m",1589,1648
2992,"Rovere, Stephan (1570–1638), Kämmerer","Messina","Sankt Veit am Flaum, ▭ Tersat am Flaum:Franziskanerkirche","m",1570,1638
2993,"Carretto, Johann Baptist (1559–1616)","","","m",1559,1616
2994,"Carretto, Oktavian (1590–1659), Kämmerer","","","m",1590,1659
2995,"Wolkenstein, Karl (1572–1626), Kämmerer","Trostburg am Eisack","","m",1572,1626
2996,"Cardona, Anton (1500–1555), Obersthofmeister","Cardona","Wien","m",1500,1555
2997,"Habsburg, Albrecht II. (1397–1439), König des Heiligen Römischen Reiches","Wien","Langendorf an der Donau, ▭ Weißenburg in Ungarn","m",1397,1439
2998,"Walther von Walthersweil, Bernhard (1516–1584)","Leipzig","Graz","m",1516,1584
2999,"Walther von Walthersweil, Bernhard (1555–1624), Oberstkämmerer","Wien","Judenburg im Murtal","m",1555,1624
3000,"Walther von Walthersweil, Jobst (1435–1510)","Memmingen","Lindau im Bodensee","m",1435,1510
3001,"Walther von Walthersweil, Hieronym (1475–1549)","Lindau im Bodensee","","m",1475,1549
3002,"Walther von Walthersweil, Jobst (1515–1576)","Leipzig","Madrid","m",1515,1576
3003,"Walther von Walthersweil, Hieronym (1500–1560)","Leipzig","Joachimsthal im Erzgebirge","m",1500,1560
3004,"Walther von Walthersweil, Hieronym (1557–1610), Kämmerer","Madrid","Brüssel","m",1557,1610
3005,"Walther von Walthersweil, Wolfgang (1591–1644)","","Münster in Westfalen","m",1591,1644
3006,"Walther von Walthersweil, Erhard (1525–1568)","Leipzig","Wien","m",1525,1568
3007,"Walther von Walthersweil, Longin (1560–1624), Hofkriegsrat","Wien","Salzburg","m",1560,1624
3008,"Walther von Walthersweil, Erhard (1590–1666)","","","m",1590,1666
3009,"Walther von Walthersweil, Jobst (1390–1450)","","Memmingen","m",1390,1450
3010,"Walther von Walthersweil, Bernhard (1440–1504)","Memmingen","Nürnberg","m",1440,1504
3011,"Walther von Walthersweil, Georg (1520–1582)","Leipzig","Wien","m",1520,1582
3012,"Lodron, Philipp Jakob (1596–1671)","","","m",1596,1671
3013,"Lodron, Dorothea (1619–1666)","","Kromau in Mähren","w",1619,1666
3014,"Lodron, Zäzilia (1622–1658)","","","w",1622,1658
3015,"Lodron, Theresia (1625–1675)","","","w",1625,1675
3016,"Arco, Elisabeth (1607–1632)","","","w",1607,1632
3017,"Arco, Livia (1610–1634)","","Passau","w",1610,1634
3018,"Lodron, Paris (1620–1693)","","","m",1620,1693
3019,"Serbelloni, Friedrich (1629–1667)","Mailand","Innsbruck","m",1629,1667
3020,"Wratislaw von Mitrowitz, Adam Leopold (1608–1658)","","","m",1608,1658
3021,"Wratislaw von Mitrowitz, Wenzel Ignaz (1645–1727)","","","m",1645,1727
3022,"Jankovich von Pribér, Johann (1600–1654)","","Limbach an der Mur","m",1600,1654
3023,"Mikulich von Brukonovcz, Eva (1615–1663)","","","w",1615,1663
3024,"Wolski, Stenzel (1523–1566)","Podhajce","Warszawa","m",1523,1566
3025,"Wolski, Niklas (1553–1630), Mundschenk","Podhajce","Przemyśl, ▭ Bielany","m",1553,1630
3026,"Herberstein, Ruprecht (1545–1612), Oberststallmeister","","Sierndorf in der Stockerau","m",1545,1612
3027,"Herberstein, Johann Wilhelm (1590–1659), Kämmerer","Windenau an der Drau","","m",1590,1659
3028,"Herberstein, Ferdinand (1582–1637), Kämmerer","","","m",1582,1637
3029,"Arco, Vinciguerra (1490–1547)","","","m",1490,1547
3030,"Arco, Vinciguerra (1535–1594)","","","m",1535,1594
3031,"Arco, Livius (1540–1586)","","","m",1540,1586
3032,"Arco, Judith (1568–1639)","","","w",1568,1639
3033,"Arco, Margarita (1565–1620)","","","w",1565,1620
3034,"Geizkofler von Reifenegg, Zacharias (1560–1617), Reichspfennigmeister","Brixen am Eisack","Prag, ▭ Haunsheim:Dreifaltigkeitskirche","m",1560,1617
3035,"Althan, Michael Johann (1679–1722), Kämmerer","Jaroslavice in Mähren","Wien","m",1679,1722
3036,"Hohenems, Mark Sittich (1533–1595), Bischof von Konstanz","Hohenems","Rom","m",1533,1595
3037,"Hohenems, Ruprecht (1566–1586)","Rom","Rom","m",1566,1586
3038,"Hohenems, Johann Angel (1587–1620)","Rom","Rom","m",1587,1620
3039,"Hohenems, Peter (1607–1691), Kämmerer","Rom","Rom","m",1607,1691
3040,"Thanrädl, Andreas (1572–1625)","","Leipzig:Paulinerkirche","m",1572,1625
3041,"Thanrädl, Balthasar (1584–1638)","","Oedenburg","m",1584,1638
3042,"Thanrädl, Georg (1611–1665)","","Regensburg","m",1611,1665
3043,"Manteuffel genannt Szöge, Eberhard (1590–1637), Kämmerer","Katzdangen in Kurland","Königsberg im Eulengebirge, ▭ Dittmannsdorf am Zwicker Wasser","m",1590,1637
3044,"Unverzagt, Georg (1515–1598)","","Wien","m",1515,1598
3045,"Unverzagt, Wolfgang (1545–1605), Hofkammerpräsident","","Prag, ▭ Wien:Schottenkirche","m",1545,1605
3046,"Unverzagt, Johann Christoph (1575–1627)","","","m",1575,1627
3047,"Unverzagt, Wolfgang Christoph (1600–1657), Kämmerer","Wien","Wien","m",1600,1657
3048,"Unverzagt, Johann Wolfgang (1603–1636)","Wien","Wien:Schottenkirche","m",1603,1636
3049,"Unverzagt, Maria Elisabeth (1615–1679)","Wien","Krems an der Donau","w",1615,1679
3050,"Unverzagt, Klara Maximiliana (1623–1668)","Wien","Wien:Franziskanerkirche","w",1623,1668
3051,"Teufel von Guntersdorf, Matthias (1485–1552)","","Winzendorf am Steinfeld:Pfarrkirche","m",1485,1552
3052,"Teufel von Guntersdorf, Erasam (1515–1552)","","Istanbul, ▭ Winzendorf am Steinfeld:Pfarrkirche","m",1515,1552
3053,"Teufel von Guntersdorf, Christoph (1514–1570)","","Winzendorf am Steinfeld:Pfarrkirche","m",1514,1570
3054,"Teufel von Guntersdorf, Georg Christoph (1558–1608)","","Winzendorf am Steinfeld:Pfarrkirche","m",1558,1608
3055,"Teufel von Guntersdorf, Wolfgang Matthias (1569–1587)","","Kraków, ▭ Winzendorf am Steinfeld:Pfarrkirche","m",1569,1587
3056,"Ungnad von Weissenwolff, Ludwig (1526–1584), Obersthofmarschall","Sonnegg im Jauntal","Klagenfurt am Wörthersee","m",1526,1584
3057,"Ungnad von Weissenwolff, Christoph (1527–1587), Ban von Kroatien","Sonnegg im Jauntal","Erlau","m",1527,1587
3058,"Ungnad von Weissenwolff, Karl (1540–1599)","Sonnegg im Jauntal","Gastein im Pongau, ▭ Völkermarkt in Kärnten","m",1540,1599
3059,"Ungnad von Weissenwolff, Simon (1545–1603)","Sonnegg im Jauntal","Waldenstein im Lavanttal","m",1545,1603
3060,"Teuffenbach, Jakob (1475–1538)","","Teufenbach im Murtal:Pfarrkirche","m",1475,1538
3061,"Teuffenbach, Franz (1516–1579)","","Sauerbrunn im Murtal, ▭ Teufenbach im Murtal:Pfarrkirche","m",1516,1579
3062,"Teuffenbach, Karl (1560–1610)","","","m",1560,1610
3063,"Manndorff, Johann (1480–1535)","","Spittal an der Drau","m",1480,1535
3064,"Manndorff, Elisabeth (1519–1541)","Ortenburg in Kärnten","Neustadt im Steinfeld","w",1519,1541
3065,"Trauttmansdorff, Georg Christoph (1596–1659), Kämmerer","","","m",1596,1659
3066,"Herberstein, Wilhelm (1525–1557), Kämmerer","","","m",1525,1557
3067,"Arco, Gerhard (1611–1655), Kämmerer","","","m",1611,1655
3068,"Arco, Maria (1565–1607)","Arco in Tirol","Weitra im Waldviertel","w",1565,1607
3069,"Arco, Niklas (1550–1595), Kämmerer","Arco in Tirol","","m",1550,1595
3070,"Dietrichstein, Erasam (1556–1583), Truchsess","Hollenburg an der Drau","","m",1556,1583
3071,"Attems, Ludwig (1523–1584)","Görz","","m",1523,1584
3072,"Hofmann von Grünbühel, Johann Friedrich (1562–1617), Reichshofrat","Strechau","","m",1562,1617
3073,"Montfort, Christina (1525–1610)","Bregenz","","w",1525,1610
3074,"Losenstein, Johann Wilhelm (1546–1601), Obersthofmarschall","Schallaburg","Loosdorf, ▭ Schallaburg","m",1546,1601
3075,"Thun, Maria (1609–1656)","","","w",1609,1656
3076,"Thun, Maximilian (1610–1643)","","","m",1610,1643
3077,"Habsburg, Lassel (1440–1457), König von Ungarn","Komorn an der Donau","Prag","m",1440,1457
3078,"Piastowicz, Joachim Friedrich (1550–1602), Herzog in Schlesien","Brieg","Brieg","m",1550,1602
3079,"Piastowicz, Barbara Agnes (1593–1631)","Ohlau","Kemnitz im Riesengebirge, ▭ Greiffenberg in Schlesien","w",1593,1631
3080,"Schwendi von Hohenlandsberg, Wilhelm (1440–1506)","","","m",1440,1506
3081,"Schwendi von Hohenlandsberg, Wilhelm (1470–1522)","","","m",1470,1522
3082,"Schwendi von Hohenlandsberg, Wilhelm (1500–1558)","","","m",1500,1558
3083,"Schwendi von Hohenlandsberg, Karl (1530–1589), Reichshofrat","","","m",1530,1589
3084,"Schwendi von Hohenlandsberg, Rudland (1480–1525)","","Ulm an der Donau","m",1480,1525
3085,"Schwendi von Hohenlandsberg, Lazar (1522–1583)","Biberach am Rotbach","Kirchhofen im Breisgau, ▭ Kientzheim im Elsass","m",1522,1583
3086,"Piastowicz, Johann Christian (1591–1639), Herzog in Schlesien","Ohlau","Osterode in Preußen","m",1591,1639
3087,"Piastowicz, Georg Rudolf (1595–1653), Herzog in Schlesien","Ohlau","Breslau, ▭ Liegnitz","m",1595,1653
3088,"Welz, Konrad (1320–1371)","Feistritz im Katschtal","","m",1320,1371
3089,"Welz, Wolfgang (1360–1416)","Feistritz im Katschtal","","m",1360,1416
3090,"Welz, Konrad (1410–1478)","","","m",1410,1478
3091,"Welz, Johann (1365–1429)","Feistritz im Katschtal","","m",1365,1429
3092,"Welz, Johann (1410–1491)","Feistritz im Katschtal","","m",1410,1491
3093,"Welz, Ruprecht (1460–1525)","Feistritz im Katschtal","Schladming","m",1460,1525
3094,"Welz, Johann (1500–1557), Landeshauptmann von Krain","Spiegelfeld im Mürztal","Laibach","m",1500,1557
3095,"Welz, Ruprecht (1530–1574), Oberstjägermeister","Spiegelfeld im Mürztal","","m",1530,1574
3096,"Welz, Erich (1560–1606)","Spiegelfeld im Mürztal","","m",1560,1606
3097,"Welz, Gotthard (1588–1630), Truchsess","","","m",1588,1630
3098,"Welz, Johann Felix (1623–1659)","","","m",1623,1659
3099,"Welz, Gotthard Helfried (1654–1724), Kämmerer","","","m",1654,1724
3100,"Welz, Georg Ruprecht (1565–1602)","Spiegelfeld im Mürztal","Kapfenberg","m",1565,1602
3101,"Welz, Bernhard (1573–1636)","Spiegelfeld im Mürztal","Neustadt im Steinfeld","m",1573,1636
3102,"Welz, Christoph Reinprecht (1540–1577), Mundschenk","Spiegelfeld im Mürztal","","m",1540,1577
3103,"Salamanca, Bernhard (1560–1614), Kämmerer","Ortenburg in Kärnten","","m",1560,1614
3104,"Salamanca, Ferdinand (1580–1616), Kämmerer","Ortenburg in Kärnten","","m",1580,1616
3105,"Teufel von Guntersdorf, Karl (1556–1634), Kämmerer","Guntersdorf im Weinviertel","","m",1556,1634
3106,"Teufel von Guntersdorf, Barbara (1593–1634)","Guntersdorf im Weinviertel","","w",1593,1634
3107,"Enckevoirth, Hadrian (1603–1663), Kämmerer","Diest in Brabant","Ledeč an der Sasau, ▭ Wien:Michaelerkirche","m",1603,1663
3108,"Enckevoirth, Ferdinand (1645–1710)","","Grafenegg im Weinviertel","m",1645,1710
3109,"Hohenems, Maria Franziska (1649–1705)","Hohenems","Grafenegg im Weinviertel","w",1649,1705
3110,"Schwendi von Hohenlandsberg, Wilhelm (1557–1609)","","Kientzheim im Elsass","m",1557,1609
3111,"Czeika von Olbramowitz, Johann (1560–1623)","Kolin an der Elbe","Brünn in Mähren","m",1560,1623
3112,"Czeika von Olbramowitz, Georg (1590–1618), Truchsess","Kolin an der Elbe","","m",1590,1618
3113,"Welz, Anna Maria (1525–1565)","","Graz","w",1525,1565
3114,"Attems, Johann Jakob (1592–1668), Kämmerer","Gradisch an der Isnitz","Tanzenberg, ▭ Klagenfurt am Wörthersee","m",1592,1668
3115,"Thun, Maximilian (1638–1701), Kämmerer","","Prag, ▭ Tetschen","m",1638,1701
3116,"Thun, Johanna Katharina (1635–1688)","","","w",1635,1688
3117,"Thun, Anna Magdalena (1633–1702)","","Salzburg","w",1633,1702
3118,"Thun, Franz Siegmund (1639–1702), Kämmerer","Prag","Livorno","m",1639,1702
3119,"Thun, Romed Konstantin (1641–1700), Kämmerer","Prag","Salzburg","m",1641,1700
3120,"Thun, Johann Ernst (1643–1709), Erzbischof von Salzburg","Prag","Salzburg","m",1643,1709
3121,"Leyen von Argenschwang, Philipp Niklas (1600–1656), Kämmerer","Argenschwang","","m",1600,1656
3122,"Losenstein, Georg Christoph (1589–1622), Kämmerer","","","m",1589,1622
